Filename,Particip_ID,Pgph,DefaultLang,CS_cond,Region,nsyll,duration,speechrate,List,Dom_lang,Eng_sprint,Span_sprint,Dom_Sprint,Nondom_Sprint,BLI_Score,Eng_AOA
b1_edp2_longestoverlap_ISI_6_test,b1,p2,Eng,mixed,6,5,1.4,3.57,2,Eng,60,41,60,41,0.683333333,6
b1_edp2_longestoverlap_ISI_7_test,b1,p2,Eng,mixed,7,8,2.72,2.94,2,Eng,60,41,60,41,0.683333333,6
b1_edp2_longestoverlap_ISI_8_test,b1,p2,Eng,mixed,8,2,0.88,2.27,2,Eng,60,41,60,41,0.683333333,6
b1_edp2_longestoverlap_ISI_9_test,b1,p2,Eng,mixed,9,7,1.98,3.53,2,Eng,60,41,60,41,0.683333333,6
b1_edp2_longestoverlap_ISI_10_test,b1,p2,Eng,mixed,10,3,1.08,2.78,2,Eng,60,41,60,41,0.683333333,6
b1_eop2_longestoverlap_ISI_0_test,b1,p2,Eng,single,0,10,2.72,3.68,2,Eng,60,41,60,41,0.683333333,6
b1_eop2_longestoverlap_ISI_1_test,b1,p2,Eng,single,1,11,2.78,3.96,2,Eng,60,41,60,41,0.683333333,6
b1_eop2_longestoverlap_ISI_3_test,b1,p2,Eng,single,3,2,0.74,2.7,2,Eng,60,41,60,41,0.683333333,6
b1_eop2_longestoverlap_ISI_4_test,b1,p2,Eng,single,4,6,1.48,4.05,2,Eng,60,41,60,41,0.683333333,6
b1_eop2_longestoverlap_ISI_5_test,b1,p2,Eng,single,5,12,2.72,4.41,2,Eng,60,41,60,41,0.683333333,6
b1_eop2_longestoverlap_ISI_6_test,b1,p2,Eng,single,6,6,1.6,3.75,2,Eng,60,41,60,41,0.683333333,6
b1_eop2_longestoverlap_ISI_7_test,b1,p2,Eng,single,7,9,2.8,3.21,2,Eng,60,41,60,41,0.683333333,6
b1_eop2_longestoverlap_ISI_8_test,b1,p2,Eng,single,8,3,0.94,3.19,2,Eng,60,41,60,41,0.683333333,6
b1_eop2_longestoverlap_ISI_9_test,b1,p2,Eng,single,9,7,1.94,3.61,2,Eng,60,41,60,41,0.683333333,6
b1_eop2_longestoverlap_ISI_10_test,b1,p2,Eng,single,10,2,0.98,2.04,2,Eng,60,41,60,41,0.683333333,6
b10r_edp1_longestoverlap_ISI_0_test,b10r,p1,Eng,mixed,0,6,1.5,4,11,Eng,64,51,64,51,0.796875,5
b10r_edp1_longestoverlap_ISI_1_test,b10r,p1,Eng,mixed,1,12,3.04,3.95,11,Eng,64,51,64,51,0.796875,5
b10r_edp1_longestoverlap_ISI_2_test,b10r,p1,Eng,mixed,2,3,1.16,2.59,11,Eng,64,51,64,51,0.796875,5
b10r_edp1_longestoverlap_ISI_3_test,b10r,p1,Eng,mixed,3,6,1.6,3.75,11,Eng,64,51,64,51,0.796875,5
b10r_edp1_longestoverlap_ISI_4_test,b10r,p1,Eng,mixed,4,4,0.96,4.17,11,Eng,64,51,64,51,0.796875,5
b10r_edp1_longestoverlap_ISI_5_test,b10r,p1,Eng,mixed,5,15,3.36,4.46,11,Eng,64,51,64,51,0.796875,5
b10r_edp1_longestoverlap_ISI_6_test,b10r,p1,Eng,mixed,6,9,1.94,4.64,11,Eng,64,51,64,51,0.796875,5
b10r_edp1_longestoverlap_ISI_7_test,b10r,p1,Eng,mixed,7,5,1.22,4.1,11,Eng,64,51,64,51,0.796875,5
b10r_edp1_longestoverlap_ISI_8_test,b10r,p1,Eng,mixed,8,4,1.2,3.33,11,Eng,64,51,64,51,0.796875,5
b10r_edp1_longestoverlap_ISI_9_test,b10r,p1,Eng,mixed,9,4,1.2,3.33,11,Eng,64,51,64,51,0.796875,5
b10r_edp1_longestoverlap_ISI_10_test,b10r,p1,Eng,mixed,10,3,1.66,1.81,11,Eng,64,51,64,51,0.796875,5
b10r_eop1_longestoverlap_ISI_0_test,b10r,p1,Eng,single,0,6,1.52,3.95,11,Eng,64,51,64,51,0.796875,5
b10r_eop1_longestoverlap_ISI_1_test,b10r,p1,Eng,single,1,13,2.92,4.45,11,Eng,64,51,64,51,0.796875,5
b10r_eop1_longestoverlap_ISI_2_test,b10r,p1,Eng,single,2,4,1.24,3.22,11,Eng,64,51,64,51,0.796875,5
b10r_eop1_longestoverlap_ISI_3_test,b10r,p1,Eng,single,3,5,1.6,3.12,11,Eng,64,51,64,51,0.796875,5
b10r_eop1_longestoverlap_ISI_4_test,b10r,p1,Eng,single,4,4,0.98,4.08,11,Eng,64,51,64,51,0.796875,5
b10r_eop1_longestoverlap_ISI_5_test,b10r,p1,Eng,single,5,14,2.98,4.7,11,Eng,64,51,64,51,0.796875,5
b10r_eop1_longestoverlap_ISI_6_test,b10r,p1,Eng,single,6,8,1.92,4.17,11,Eng,64,51,64,51,0.796875,5
b10r_eop1_longestoverlap_ISI_7_test,b10r,p1,Eng,single,7,6,1.04,5.77,11,Eng,64,51,64,51,0.796875,5
b10r_eop1_longestoverlap_ISI_8_test,b10r,p1,Eng,single,8,5,1.28,3.91,11,Eng,64,51,64,51,0.796875,5
b10r_eop1_longestoverlap_ISI_9_test,b10r,p1,Eng,single,9,6,1.3,4.61,11,Eng,64,51,64,51,0.796875,5
b10r_eop1_longestoverlap_ISI_10_test,b10r,p1,Eng,single,10,5,1.44,3.47,11,Eng,64,51,64,51,0.796875,5
b10r_edp2_longestoverlap_ISI_0_test,b10r,p2,Eng,mixed,0,11,3.38,3.25,11,Eng,64,51,64,51,0.796875,5
b10r_edp2_longestoverlap_ISI_1_test,b10r,p2,Eng,mixed,1,12,2.7,4.44,11,Eng,64,51,64,51,0.796875,5
b10r_edp2_longestoverlap_ISI_3_test,b10r,p2,Eng,mixed,3,3,0.58,5.17,11,Eng,64,51,64,51,0.796875,5
b10r_edp2_longestoverlap_ISI_4_test,b10r,p2,Eng,mixed,4,7,1.28,5.47,11,Eng,64,51,64,51,0.796875,5
b10r_edp2_longestoverlap_ISI_5_test,b10r,p2,Eng,mixed,5,14,2.9,4.83,11,Eng,64,51,64,51,0.796875,5
b10r_edp2_longestoverlap_ISI_6_test,b10r,p2,Eng,mixed,6,5,1.22,4.1,11,Eng,64,51,64,51,0.796875,5
b10r_edp2_longestoverlap_ISI_7_test,b10r,p2,Eng,mixed,7,15,3.74,4.01,11,Eng,64,51,64,51,0.796875,5
b10r_edp2_longestoverlap_ISI_8_test,b10r,p2,Eng,mixed,8,3,1.02,2.94,11,Eng,64,51,64,51,0.796875,5
b10r_edp2_longestoverlap_ISI_9_test,b10r,p2,Eng,mixed,9,7,1.6,4.37,11,Eng,64,51,64,51,0.796875,5
